"composer","title","n_shows","n_distinct_places","n_distinct_librettist"
"Martín y Soler, Vicente","Una cosa rara",13,11,1
"Mozart, Wolfgang Amadeus","Così fan tutte",13,7,1
"Anfossi, Pasquale","Il geloso in cimento",9,9,2
"Salieri, Antonio","Axur re d'Ormus",9,6,1
"Cimarosa, Domenico","Il matrimonio segreto",8,7,1
"Mozart, Wolfgang Amadeus","Don Giovanni",8,6,1
"Martín y Soler, Vicente","L'arbore di Diana",7,6,1
"Mozart, Wolfgang Amadeus","La clemenza di Tito",7,6,1
"Mozart, Wolfgang Amadeus","Le nozze di Figaro",7,6,1
"Cimarosa, Domenico","Gli Orazi ed i Curiazi",6,4,1
"Paisiello, Giovanni","Elfrida",6,3,1
"Paisiello, Giovanni","I Filosofi immaginari",6,5,1
"Salieri, Antonio","La cifra",6,5,1
"Anfossi, Pasquale","L' Avaro",5,5,1
"Martín y Soler, Vicente","La scuola dei maritati",5,5,1
"Mayr, Johann Simon","Che originali",5,4,1
"Anfossi, Pasquale","La finta giardiniera",4,4,1
"Anfossi, Pasquale","La forza delle donne",4,4,1
"Mayr, Johann Simon","Ginevra di Scozia",4,4,1
"Piccinni, Niccolò","La buona figliuola",4,3,1
"Anfossi, Pasquale","Lo sposo disperato",3,2,1
"Mayr, Johann Simon","Adelaide di Guesclino",3,3,1
"Meyerbeer, Giacomo","Il crociato in Egitto",3,3,1
"Paisiello, Giovanni","Antigono",3,1,1
"Rossini, Gioachino","Semiramide",3,3,1
"Salieri, Antonio","Il talismano",3,3,2
"Anfossi, Pasquale","Didone abbandonata",2,2,1
"Anfossi, Pasquale","Isabella e Rodrigo",2,2,1
"Anfossi, Pasquale","L'imbroglio delle tre spose",2,2,1
"Cimarosa, Domenico","Artaserse",2,1,1
"Cimarosa, Domenico","L'Olimpiade",2,2,1
"Mayr, Johann Simon","Elisa",2,2,1
"Mayr, Johann Simon","Eraldo ed Emma",2,2,1
"Mayr, Johann Simon","L' Amor coniugale",2,2,1
"Paisiello, Giovanni","Elvira",2,1,1
"Paisiello, Giovanni","Il mondo della luna",2,1,1
"Paisiello, Giovanni","La locanda",2,2,1
"Paisiello, Giovanni","Nitteti",2,1,1
"Paisiello, Giovanni","Olimpiade",2,1,1
"Rossini, Gioachino","Tancredi",2,2,1
"Salieri, Antonio","La scuola de' gelosi",2,2,1
"Anfossi, Pasquale","Adriano in Siria",1,1,1
"Anfossi, Pasquale","Antigono",1,1,1
"Anfossi, Pasquale","Artaserse",1,1,1
"Anfossi, Pasquale","Azor re di Kibinga",1,1,1
"Anfossi, Pasquale","Ezio",1,1,1
"Anfossi, Pasquale","Il curioso indiscreto",1,1,1
"Anfossi, Pasquale","Il matrimonio per inganno",1,1,1
"Anfossi, Pasquale","L’incognita perseguitata",1,1,1
"Anfossi, Pasquale","Nitteti",1,1,1
"Anfossi, Pasquale","Olimpiade",1,1,1
"Cimarosa, Domenico","Alessandro nell'Indie",1,1,1
"Cimarosa, Domenico","Caio Mario",1,1,1
"Cimarosa, Domenico","L'eroe cinese",1,1,1
"Cimarosa, Domenico","La vanità delusa",1,1,1
"Cimarosa, Domenico","Olimpiade",1,1,1
"Martín y Soler, Vicente","Il burbero di buon cuore",1,1,1
"Martín y Soler, Vicente","Ipermestra",1,1,1
"Mayr, Johann Simon","Adriano in Siria",1,1,1
"Mayr, Johann Simon","Gli sciti",1,1,1
"Mayr, Johann Simon","I cherusci",1,1,1
"Mayr, Johann Simon","La roccia di Frauenstein",1,1,1
"Mayr, Johann Simon","Saffo",1,1,1
"Mayr, Johann Simon","Telemaco nell'isola di Calipso",1,1,1
"Meyerbeer, Giacomo","Emma di Resburgo",1,1,1
"Mozart, Wolfgang Amadeus","Il re pastore",1,1,1
"Paisiello, Giovanni","Achille in Sciro",1,1,1
"Paisiello, Giovanni","Alcide al bivio",1,1,1
"Paisiello, Giovanni","Catone in Utica",1,1,1
"Paisiello, Giovanni","Didone abbandonata",1,1,1
"Paisiello, Giovanni","Il Demetrio",1,1,1
"Paisiello, Giovanni","Il Demofoonte",1,1,1
"Paisiello, Giovanni","Il finto principe",1,1,1
"Piccinni, Niccolò","Alessandro nell'Indie",1,1,1
"Piccinni, Niccolò","Artaserse",1,1,1
"Piccinni, Niccolò","Didone abbandonata",1,1,1
"Piccinni, Niccolò","Il servo padrone",1,1,1
