placename,n_shows,n_distinct_composers
Venezia,35,9
Napoli,26,7
Weimar,16,8
Wien,15,5
Dresden,12,5
Hamburg,10,8
Paris,9,4
Braunschweig,8,4
Roma,8,4
Sankt Petersburg,8,1
Breslau,6,1
Firenze,5,3
Regensburg,5,2
Bologna,4,3
Osnabrück,4,2
Praha,4,2
Detmold,3,3
Donaueschingen,3,2
Genova,3,1
London,3,3
Milano,3,3
Padova,3,2
Torino,3,2
Dessau,2,2
Frankfurt am Main,2,2
Pillnitz,2,2
Vicenza,2,1
Amsterdam,1,1
Bad Lauchstädt,1,1
Bonn,1,1
Castelnuovo,1,1
Faenza,1,1
Graz,1,1
Hannover,1,1
Karlsruhe,1,1
Leipzig,1,1
Potsdam,1,1
Puschkin,1,1
Ravenna,1,1
Salzburg,1,1
Udine,1,1
Valletta,1,1
Verona,1,1
